UT,B_TOTAL,BX,BY,BZ
2009-09-15T11:00:00.073Z,236.019,-45.8522,165.369,162.036
2009-09-15T11:00:03.205Z,235.826,-45.6885,165.335,161.836
2009-09-15T11:00:06.338Z,235.565,-45.4425,165.303,161.558
2009-09-15T11:00:09.470Z,235.353,-45.6925,165.038,161.448
2009-09-15T11:00:12.602Z,234.951,-45.5306,164.874,161.077
2009-09-15T11:00:15.734Z,234.833,-45.697,164.712,161.022
2009-09-15T11:00:18.866Z,234.613,-45.6989,164.574,160.842
2009-09-15T11:00:21.998Z,234.362,-45.5356,164.504,160.594
2009-09-15T11:00:25.130Z,234.101,-45.5121,164.042,160.692
2009-09-15T11:00:28.262Z,233.751,-45.6805,163.736,160.447
2009-09-15T11:00:31.394Z,233.589,-45.6819,163.634,160.315
2009-09-15T11:00:34.526Z,233.416,-45.6834,163.525,160.173
2009-09-15T11:00:37.658Z,233.15,-45.6857,163.359,159.956
2009-09-15T11:00:40.790Z,232.911,-45.5223,163.296,159.717
2009-09-15T11:00:43.923Z,232.603,-45.4992,162.805,159.777
2009-09-15T11:00:47.055Z,232.453,-45.5005,162.711,159.654
2009-09-15T11:00:50.187Z,232.199,-45.5027,162.551,159.446
2009-09-15T11:00:53.319Z,231.906,-45.0916,162.586,159.1
2009-09-15T11:00:56.451Z,231.673,-45.1763,162.397,158.931
2009-09-15T11:00:59.583Z,231.409,-45.3183,161.845,159.068
2009-09-15T11:01:02.715Z,231.154,-45.1808,162.071,158.505
2009-09-15T11:01:05.847Z,231.074,-45.3212,161.635,158.794
2009-09-15T11:01:08.979Z,230.8,-45.1581,161.55,158.527
2009-09-15T11:01:12.111Z,230.481,-44.9127,161.482,158.202
2009-09-15T11:01:15.244Z,230.204,-45.1375,160.878,158.35
2009-09-15T11:01:18.376Z,229.991,-45.165,161.043,157.865
2009-09-15T11:01:21.508Z,229.777,-45.1411,160.61,158
2009-09-15T11:01:24.640Z,229.467,-44.9784,160.504,157.704
2009-09-15T11:01:27.772Z,229.216,-44.8151,160.434,157.456
2009-09-15T11:01:30.904Z,229.026,-45.1476,160.139,157.385
2009-09-15T11:01:34.036Z,228.862,-45.3144,159.948,157.292
2009-09-15T11:01:37.168Z,228.587,-45.1514,159.864,157.025
2009-09-15T11:01:40.300Z,228.386,-44.9619,159.527,157.13
2009-09-15T11:01:43.432Z,228.174,-44.9895,159.692,156.645
2009-09-15T11:01:46.564Z,227.959,-44.9656,159.259,156.78
2009-09-15T11:01:49.697Z,227.58,-44.8034,159.109,156.428
2009-09-15T11:01:52.829Z,227.382,-44.9705,158.897,156.307
2009-09-15T11:01:55.961Z,227.232,-44.9718,158.802,156.184
2009-09-15T11:01:59.093Z,226.927,-44.7833,158.401,156.204
2009-09-15T11:02:02.225Z,226.662,-44.7855,158.234,155.986
2009-09-15T11:02:05.357Z,226.573,-44.9775,158.389,155.645
2009-09-15T11:02:08.489Z,226.297,-44.4578,158.181,155.604
2009-09-15T11:02:11.621Z,226,-44.6001,157.608,155.713
2009-09-15T11:02:14.753Z,225.722,-44.6025,157.434,155.486
2009-09-15T11:02:17.885Z,225.48,-44.6045,157.281,155.287
2009-09-15T11:02:21.018Z,225.394,-44.631,157.526,154.906
2009-09-15T11:02:24.150Z,225.089,-44.4424,157.124,154.926
2009-09-15T11:02:27.282Z,224.925,-44.6093,156.933,154.833
2009-09-15T11:02:30.414Z,224.546,-44.4471,156.784,154.481
2009-09-15T11:02:33.546Z,224.454,-44.4479,156.725,154.406
2009-09-15T11:02:36.678Z,224.237,-44.2843,156.677,154.186
2009-09-15T11:02:39.810Z,223.94,-44.4266,156.104,154.295
2009-09-15T11:02:42.942Z,223.707,-44.594,155.87,154.146
2009-09-15T11:02:46.074Z,223.484,-44.4562,156.117,153.611
2009-09-15T11:02:49.206Z,223.295,-44.2667,155.787,153.726
2009-09-15T11:02:52.338Z,223.001,-44.2435,155.304,153.794
2009-09-15T11:02:55.471Z,222.806,-44.6018,155.304,153.408
2009-09-15T11:02:58.603Z,222.589,-44.4382,155.256,153.188
2009-09-15T11:03:01.735Z,222.333,-44.0838,154.972,153.206
2009-09-15T11:03:04.867Z,222.136,-44.0855,154.849,153.045
2009-09-15T11:03:07.999Z,221.819,-44.0625,154.351,153.095
2009-09-15T11:03:11.131Z,221.648,-44.4205,154.366,152.728
2009-09-15T11:03:14.263Z,221.476,-44.2566,154.346,152.546
2009-09-15T11:03:17.395Z,221.23,-44.0675,153.981,152.613
2009-09-15T11:03:20.527Z,220.959,-44.0956,154.11,152.081
2009-09-15T11:03:23.659Z,220.762,-44.0973,153.986,151.92
2009-09-15T11:03:26.792Z,220.556,-43.9336,153.945,151.71
2009-09-15T11:03:29.924Z,220.22,-43.8152,153.33,151.878
2009-09-15T11:03:33.056Z,220.091,-43.9817,153.16,151.814
2009-09-15T11:03:36.188Z,219.964,-43.9828,153.08,151.71
2009-09-15T11:03:39.320Z,219.596,-43.8205,152.938,151.368
2009-09-15T11:03:42.452Z,219.342,-43.8227,152.779,151.16
2009-09-15T11:03:45.584Z,219.213,-43.9893,152.609,151.096
2009-09-15T11:03:48.716Z,218.929,-43.8961,152.325,150.997
2009-09-15T11:03:51.848Z,218.688,-43.7328,152.262,150.758
2009-09-15T11:03:54.980Z,218.415,-43.6395,151.985,150.668
2009-09-15T11:03:58.112Z,218.194,-43.8068,151.758,150.529
2009-09-15T11:04:01.245Z,218.086,-43.9034,151.796,150.306
2009-09-15T11:04:04.377Z,217.756,-43.6452,151.572,150.13
2009-09-15T11:04:07.509Z,217.445,-43.6479,151.376,149.874
2009-09-15T11:04:10.641Z,217.288,-43.7889,150.89,150.096
2009-09-15T11:04:13.773Z,217.146,-43.8857,150.906,149.846
2009-09-15T11:04:16.905Z,216.906,-43.5569,150.932,149.567
2009-09-15T11:04:20.037Z,216.758,-43.628,150.646,149.622
2009-09-15T11:04:23.169Z,216.462,-43.535,150.354,149.513
2009-09-15T11:04:26.301Z,216.262,-43.6323,150.334,149.215
2009-09-15T11:04:29.433Z,216.152,-43.3722,150.248,149.218
2009-09-15T11:04:32.566Z,215.889,-43.4443,149.889,149.178
2009-09-15T11:04:35.698Z,215.612,-43.4467,149.715,148.951
2009-09-15T11:04:38.830Z,215.345,-43.2137,149.83,148.516
2009-09-15T11:04:41.962Z,215.194,-43.3804,149.646,148.433
2009-09-15T11:04:45.094Z,214.889,-43.3573,149.155,148.493
2009-09-15T11:04:48.226Z,214.612,-43.3597,148.981,148.266
2009-09-15T11:04:51.358Z,214.389,-43.2918,149.036,147.909
2009-09-15T11:04:54.490Z,214.182,-43.2935,148.905,147.739
2009-09-15T11:04:57.622Z,214.092,-43.3642,148.654,147.841
2009-09-15T11:05:00.754Z,213.838,-43.3664,148.495,147.632
2009-09-15T11:05:03.886Z,213.745,-43.5326,148.347,147.597
2009-09-15T11:05:07.019Z,213.427,-43.2743,148.131,147.43
2009-09-15T11:05:10.151Z,213.172,-43.442,147.882,147.261
2009-09-15T11:05:13.283Z,213.011,-43.2779,147.87,147.089
2009-09-15T11:05:16.415Z,212.842,-43.1838,147.658,147.085
2009-09-15T11:05:19.547Z,212.534,-43.0908,147.359,146.967
2009-09-15T11:05:22.679Z,212.392,-43.1876,147.375,146.716
2009-09-15T11:05:25.811Z,212.288,-43.1885,147.31,146.631
2009-09-15T11:05:28.943Z,211.951,-42.8348,146.976,146.583
2009-09-15T11:05:32.075Z,211.662,-42.8373,146.795,146.346
2009-09-15T11:05:35.207Z,211.589,-42.9335,146.854,146.152
2009-09-15T11:05:38.340Z,211.336,-42.7702,146.784,145.904
2009-09-15T11:05:41.472Z,211.05,-42.8425,146.41,145.845
2009-09-15T11:05:44.604Z,210.719,-42.9153,146.008,145.748
2009-09-15T11:05:47.736Z,210.646,-42.846,146.156,145.514
2009-09-15T11:05:50.868Z,210.442,-42.7522,145.923,145.481
2009-09-15T11:05:54.000Z,210.112,-42.6594,145.61,145.344
2009-09-15T11:05:57.132Z,209.957,-42.9218,145.529,145.124
2009-09-15T11:06:00.264Z,209.842,-42.9228,145.456,145.03
2009-09-15T11:06:03.396Z,209.696,-42.663,145.348,145.005
2009-09-15T11:06:06.528Z,209.511,-42.8301,145.143,144.893
2009-09-15T11:06:09.661Z,209.238,-42.7368,144.866,144.804
2009-09-15T11:06:12.793Z,208.958,-42.6694,144.884,144.399
2009-09-15T11:06:15.925Z,208.746,-42.6455,144.451,144.534
2009-09-15T11:06:19.057Z,208.549,-42.8126,144.238,144.414
2009-09-15T11:06:22.189Z,208.43,-42.7438,144.358,144.142
2009-09-15T11:06:25.321Z,208.196,-42.5546,144,144.218
2009-09-15T11:06:28.453Z,207.873,-42.3919,143.886,143.913
