UT,B_TOTAL,BX,BY,BZ
2009-09-15T14:47:23.478Z,26.7384,0.760739,-4.8757,-26.2791
2009-09-15T14:47:26.610Z,24.3595,-1.03551,-5.46641,-23.7156
2009-09-15T14:47:29.742Z,25.7316,-0.433656,-4.56628,-25.3195
2009-09-15T14:47:32.874Z,26.5136,-0.857697,-5.20363,-25.9838
2009-09-15T14:47:36.006Z,24.3876,0.942579,-5.32786,-23.7798
2009-09-15T14:47:39.139Z,28.3897,-0.0383738,-5.14105,-27.9203
2009-09-15T14:47:42.271Z,30.1585,3.1416,-2.52197,-29.8882
2009-09-15T14:47:45.403Z,25.1217,0.980745,-6.35995,-24.2836
2009-09-15T14:47:48.535Z,28.6083,-1.17362,-8.33737,-27.3412
2009-09-15T14:47:51.667Z,25.7147,0.637779,-8.62539,-24.2165
2009-09-15T14:47:54.799Z,27.964,-0.130681,-7.44919,-26.9532
2009-09-15T14:47:57.931Z,31.2625,-3.22487,-12.5588,-28.4468
2009-09-15T14:48:01.063Z,31.0395,2.27101,-9.35741,-29.5082
2009-09-15T14:48:04.195Z,26.4728,0.820222,-6.56011,-25.634
2009-09-15T14:48:07.327Z,28.9681,0.290428,-8.98372,-27.5383
2009-09-15T14:48:10.459Z,24.5546,2.52582,-7.12721,-23.3613
2009-09-15T14:48:13.592Z,25.6095,2.62708,-5.87233,-24.7884
2009-09-15T14:48:16.724Z,29.7287,3.32438,-8.46722,-28.3028
2009-09-15T14:48:19.856Z,30.0458,3.01308,-8.12508,-28.769
2009-09-15T14:48:22.988Z,25.9416,3.28077,-4.90925,-25.2607
2009-09-15T14:48:26.120Z,29.4782,3.3437,-7.67982,-28.2632
2009-09-15T14:48:29.252Z,33.3668,3.59704,-7.92691,-32.2113
2009-09-15T14:48:32.384Z,27.6193,4.58688,-7.04145,-26.3098
2009-09-15T14:48:35.516Z,24.8953,2.63925,-3.32843,-24.5302
2009-09-15T14:48:38.648Z,32.0139,1.757,-7.7722,-31.0063
2009-09-15T14:48:41.780Z,31.2739,4.90088,-4.63065,-30.5384
2009-09-15T14:48:44.912Z,28.0242,4.28248,2.57133,-27.5754
2009-09-15T14:48:48.045Z,24.7807,0.88265,-5.28147,-24.1953
2009-09-15T14:48:51.177Z,27.1732,3.2399,-5.85792,-26.3357
2009-09-15T14:48:54.309Z,30.434,3.32799,-6.72868,-29.4937
2009-09-15T14:48:57.441Z,33.0045,3.47067,-8.46699,-31.7106
2009-09-15T14:49:00.573Z,32.9944,2.69486,-8.00491,-31.895
2009-09-15T14:49:03.705Z,33.2869,3.72726,-6.30051,-32.472
2009-09-15T14:49:06.837Z,35.6363,4.49871,-5.19143,-34.968
2009-09-15T14:49:09.969Z,32.0931,4.41409,-7.3913,-30.9168
2009-09-15T14:49:13.101Z,27.1217,4.09055,-8.87491,-25.3
2009-09-15T14:49:16.233Z,28.2445,5.30764,-9.86547,-25.9278
2009-09-15T14:49:19.365Z,33.6636,6.1481,-9.16242,-31.8039
2009-09-15T14:49:22.497Z,34.9047,3.17383,-12.4325,-32.4607
2009-09-15T14:49:25.630Z,35.3732,3.2088,-11.3683,-33.3426
2009-09-15T14:49:28.762Z,30.1527,2.55232,-9.66934,-28.446
2009-09-15T14:49:31.894Z,32.2348,4.87504,-11.8974,-29.5595
