,UT,N_ION,VX_ION,VY_ION,VZ,TX_ION,TY_ION,TZ_ION,VT_ION,TT_ION
0,2009-09-15T11:00:01.961Z,1.5689981,-2.3524516,-2.2903054,-1.5189763,425.49598,431.06277,367.45616,3.617570505,708.4391083
1,2009-09-15T11:00:05.093Z,1.4781444,-1.7240326,2.3460922,-1.3742996,472.61927,455.98357,399.93448,3.219493191,768.9197479
2,2009-09-15T11:00:08.225Z,1.5639317,3.5026585,-0.9245931,-1.9773421,443.15151,437.89795,361.57291,4.127150439,720.3282895
3,2009-09-15T11:00:11.358Z,1.5723452,-2.097609,1.8567904,0.95438225,417.90642,432.09086,367.48372,2.959472856,704.5513265
4,2009-09-15T11:00:14.490Z,1.5816149,-2.7699423,0.63895125,-2.9016979,439.87406,452.3776,375.02306,4.062104104,734.0142895
5,2009-09-15T11:00:17.622Z,1.5927627,-1.4942818,0.38567975,2.075025,437.04358,420.47653,368.18293,2.585992212,709.4831027
6,2009-09-15T11:00:20.754Z,1.5321596,-4.7983238,2.5667409,0.030781241,420.07435,426.91258,373.98092,5.441784415,706.1009411
7,2009-09-15T11:00:23.886Z,1.6035842,-2.6470096,-0.42509604,-0.69935177,440.83161,447.51569,380.82632,2.77064241,734.5961388
8,2009-09-15T11:00:27.018Z,1.5697722,-4.852509,1.2444075,-3.6138317,434.97252,446.19304,383.05752,6.176987387,731.4522443
9,2009-09-15T11:00:30.150Z,1.58328,-0.42301277,1.6431886,-0.96401325,427.07628,421.13526,372.70022,1.951494331,706.1547353
10,2009-09-15T11:00:33.282Z,1.547794,2.2977154,5.2060422,0.44883863,445.16586,431.30599,377.31027,5.708224554,725.644913
11,2009-09-15T11:00:36.414Z,1.5701999,4.5379904,0.29471552,-0.074801851,428.32402,416.9932,368.58372,4.548165501,702.2811073
12,2009-09-15T11:00:39.546Z,1.4789114,-3.8359936,-1.4752169,-0.71565143,474.11336,468.65667,401.7597,4.171722518,778.3530105
13,2009-09-15T11:00:42.678Z,1.521458,1.7778293,-1.1721904,1.3079958,468.10524,461.70645,386.22738,2.499111916,762.5398027
14,2009-09-15T11:00:45.811Z,1.4935047,-3.5211716,-2.672909,0.13457945,450.40209,471.53136,394.19468,4.422804946,761.9667394
15,2009-09-15T11:00:48.943Z,1.4873233,-7.4271763,-1.8775555,0.82390177,460.72275,453.98403,402.14094,7.704996857,761.632646
16,2009-09-15T11:00:52.075Z,1.6183949,1.3884812,1.9494477,-0.28843051,436.27931,425.63568,362.37365,2.410688395,709.0980402
17,2009-09-15T11:00:55.207Z,1.5865593,0.36782794,0.70028048,-1.1573113,440.00238,436.17598,362.09575,1.401805831,717.6105574
18,2009-09-15T11:00:58.339Z,1.5531835,0.31549682,2.1712477,-4.0556516,446.44221,441.59428,389.75114,4.611091489,739.0684042
19,2009-09-15T11:01:01.471Z,1.4427637,-1.0879779,2.0257621,-0.55338589,458.73116,468.51075,415.911,2.365088569,776.4783062
20,2009-09-15T11:01:04.603Z,1.446421,-3.9721946,1.4237453,-0.26736876,484.47307,462.65439,404.46339,4.228104383,782.5304301
21,2009-09-15T11:01:07.735Z,1.5660448,-4.7191021,3.692676,1.7936839,428.81639,434.02205,370.55553,6.254844731,713.8417451
22,2009-09-15T11:01:10.867Z,1.570342,-2.0391563,2.7859121,-4.3963012,446.82681,440.40873,380.56098,5.589895248,733.7851914
23,2009-09-15T11:01:13.999Z,1.5662302,-4.4986178,3.6756583,-0.67112118,441.78059,469.24091,389.83856,5.847942346,753.2139299
24,2009-09-15T11:01:17.131Z,1.5105557,-0.6152638,-2.6274806,0.26858876,469.7339,486.58683,395.14677,2.711889336,783.2992083
25,2009-09-15T11:01:20.264Z,1.534752,1.2387967,2.9802022,-2.2010453,426.99566,438.98055,393.76639,3.906510313,728.0667461
26,2009-09-15T11:01:23.396Z,1.5220107,2.0684918,1.7100398,-0.16833914,440.74964,460.46397,402.61785,2.68909511,753.9154104
27,2009-09-15T11:01:26.528Z,1.5547983,-6.4468023,4.1101,-1.8523643,437.17101,440.83716,372.36734,7.866729651,723.956718
28,2009-09-15T11:01:29.660Z,1.554351,-2.49693,2.1231539,-3.2889929,433.58134,448.36806,385.52391,4.643265683,733.2498761
29,2009-09-15T11:01:32.792Z,1.5173734,1.4412501,0.93352915,0.99438127,418.10756,436.37424,388.30602,1.984306588,718.3439108
30,2009-09-15T11:01:35.924Z,1.4578667,-2.366818,2.5413913,0.16763664,470.5294,479.14504,403.54414,3.476866294,783.4703304
31,2009-09-15T11:01:39.056Z,1.567785,1.3789607,-0.54504213,-1.5404556,420.76376,440.60852,379.79357,2.138131659,717.9283846
32,2009-09-15T11:01:42.188Z,1.537381,-0.017864619,6.9080353,-2.4308124,449.56221,474.48943,394.8047,7.323258822,763.6210781
33,2009-09-15T11:01:45.320Z,1.5107033,-2.4153983,-1.9581792,1.3722331,455.12434,469.51758,399.61985,3.398770132,766.3425783
34,2009-09-15T11:01:48.452Z,1.5283905,-3.3277785,2.1138062,-4.7422174,449.15283,433.1249,381.64583,6.166920809,731.429411
35,2009-09-15T11:01:51.585Z,1.4314069,-3.1641221,4.0778205,-1.156555,472.54184,485.3417,425.99353,5.289414728,800.201752
36,2009-09-15T11:01:54.717Z,1.4811078,0.54315796,3.169448,-2.1480699,491.52041,482.78396,410.15229,3.867121085,801.8089339
