UT,N_ION,VX_ION,VY_ION,VZ,TX_ION,TY_ION,TZ_ION,VT_ION,TT_ION
2009-09-15T14:47:22.234Z,27.517014,-98.770652,-90.10935,27.39121,173.71701,169.7676,103.964,136.475694,264.2104291
2009-09-15T14:47:25.366Z,27.487779,-99.720304,-101.2742,27.419543,179.09412,190.90685,107.68784,144.749556,283.0491125
2009-09-15T14:47:28.498Z,26.086347,-110.45106,-94.334115,27.070611,176.5868,189.45682,112.66143,147.7537813,282.4347401
2009-09-15T14:47:31.630Z,27.22494,-108.17369,-107.33473,26.909578,184.29183,179.85542,109.38,154.7462984,279.7774743
2009-09-15T14:47:34.762Z,25.531556,-98.017662,-100.44672,32.137935,171.74919,177.82575,113.30784,143.9786529,271.9530258
2009-09-15T14:47:37.894Z,26.144626,-102.24451,-93.45284,26.693776,179.40317,179.30412,106.66058,141.0671145,275.1580349
2009-09-15T14:47:41.026Z,26.348954,-103.69543,-113.53201,33.331366,175.66772,181.25992,109.32882,157.3316226,275.07653
2009-09-15T14:47:44.159Z,25.648225,-89.38624,-117.22349,32.651996,180.94903,174.79784,110.43742,150.9880769,274.7603684
2009-09-15T14:47:47.291Z,26.961983,-102.74657,-105.58356,31.356662,169.28555,185.98281,107.78887,150.6253167,273.6158686
2009-09-15T14:47:50.423Z,27.75022,-91.102645,-111.51478,32.213149,186.09385,172.7722,108.4551,147.5565148,276.1225504
2009-09-15T14:47:53.555Z,25.852483,-97.72123,-101.6004,35.856597,181.23346,200.92791,116.27249,145.4571264,294.5112629
2009-09-15T14:47:56.687Z,27.428993,-104.15178,-105.26876,36.677319,170.26488,177.22369,107.48285,152.5592699,268.2367028
2009-09-15T14:47:59.819Z,25.122527,-102.03552,-109.59355,42.94982,157.90754,168.38746,102.22119,155.7776639,252.4644521
2009-09-15T14:48:02.951Z,29.501775,-102.84076,-90.135185,32.63592,183.11627,166.06781,102.88008,140.5904576,267.7580937
2009-09-15T14:48:06.083Z,28.713463,-92.648933,-100.89732,40.407673,174.17315,186.44077,104.03236,142.817625,275.5343514
2009-09-15T14:48:09.215Z,27.720787,-89.278223,-90.980452,37.766054,165.58514,169.44446,99.575477,132.9447952,256.9924887
2009-09-15T14:48:12.347Z,28.713378,-104.83121,-95.754599,30.662233,161.92631,177.46377,100.21244,145.2539099,260.2999283
2009-09-15T14:48:15.479Z,27.428754,-110.78821,-113.7568,39.788346,162.08981,167.38963,100.61438,163.7001817,253.8023802
2009-09-15T14:48:18.612Z,26.436085,-106.33091,-109.5172,37.98034,170.23222,182.32086,103.87999,157.2983971,270.2053979
2009-09-15T14:48:21.744Z,27.370286,-104.91517,-107.94139,40.36231,179.69276,184.16468,103.3692,155.8449635,277.2928215
2009-09-15T14:48:24.876Z,29.589062,-104.53542,-101.2881,31.686921,182.57589,192.27234,104.18213,148.9664197,284.8798423
2009-09-15T14:48:28.008Z,25.501735,-97.518573,-93.290145,35.873973,153.46413,167.0352,102.15683,139.6419177,248.7730193
2009-09-15T14:48:31.140Z,26.990636,-95.661444,-90.765651,33.597279,160.72964,158.37531,98.21956,136.0819328,246.0972124
2009-09-15T14:48:34.272Z,29.851688,-103.13643,-105.96505,31.661043,182.97543,180.20888,102.85959,151.2221434,276.650219
2009-09-15T14:48:37.404Z,28.625466,-95.866595,-103.07057,36.129912,176.68948,173.94551,103.94327,145.324867,268.8501742
2009-09-15T14:48:40.536Z,26.435821,-95.890857,-107.61312,40.926358,171.15449,177.56287,102.35829,149.8352656,267.0199464
2009-09-15T14:48:43.668Z,28.129074,-92.666449,-123.44916,37.54204,183.87134,176.67516,101.28871,158.8589646,274.3759913
2009-09-15T14:48:46.800Z,30.289434,-84.979923,-116.95688,29.546717,178.39687,197.68309,109.67514,147.5584887,287.9803529
2009-09-15T14:48:49.932Z,28.450131,-80.004849,-99.401506,31.783573,170.5201,176.55496,103.49821,131.4976455,266.3843799
2009-09-15T14:48:53.065Z,27.48667,-90.075454,-101.62241,28.883568,190.00158,178.74609,100.25547,138.8342974,279.4672152
2009-09-15T14:48:56.197Z,26.523212,-89.603834,-112.35473,32.704785,177.91478,186.28784,101.3892,147.3839726,276.8331594
2009-09-15T14:48:59.329Z,27.574175,-87.352849,-100.05067,25.331308,173.01902,174.84011,94.390834,135.2121739,263.4658894
2009-09-15T14:49:02.461Z,24.859054,-96.823002,-104.87648,31.288894,176.95535,180.37655,104.93367,146.1258521,273.6055021
2009-09-15T14:49:05.593Z,25.822142,-94.713854,-109.52061,33.09715,173.06807,173.98903,102.65972,148.52912,266.0145814
2009-09-15T14:49:08.725Z,25.442298,-89.343126,-105.02955,32.670974,176.02245,169.67496,98.790968,141.706715,263.6913922
2009-09-15T14:49:11.857Z,26.201,-83.875032,-94.951495,28.06807,170.88101,179.10113,97.735219,129.7637235,266.1385116
2009-09-15T14:49:14.989Z,24.770212,-86.17649,-111.76914,30.470639,177.23186,180.17699,108.11762,144.385553,274.8896136
2009-09-15T14:49:18.121Z,27.338847,-79.416974,-127.38882,38.537231,187.3833,189.55863,99.050258,154.9841456,284.3517697
2009-09-15T14:49:21.253Z,23.105629,-78.729332,-122.82043,36.345901,155.81903,174.8575,99.236494,150.3468997,254.367052
2009-09-15T14:49:24.385Z,25.469873,-90.062334,-133.39443,35.664822,167.09542,171.94611,94.42359,164.8553229,257.6861628
2009-09-15T14:49:27.518Z,25.761467,-77.571282,-129.15238,41.02734,174.08327,177.92813,93.024865,156.1437917,265.7386495
2009-09-15T14:49:30.650Z,24.301584,-92.833578,-121.83375,35.335175,163.35255,190.19474,100.15182,157.1944987,269.9786691
2009-09-15T14:49:33.782Z,25.206187,-89.850984,-126.26939,35.922833,179.39788,184.17046,101.3431,159.0836513,276.3562585
2009-09-15T14:49:36.914Z,25.556153,-72.82656,-122.51993,37.53705,186.56467,191.01939,103.03427,147.3902005,286.2007062
